Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
3/5/2018,Crown Point,IN,Worker fatally crushed by pile of doors.,1299485,State,Yes
3/5/2018,Hagerstown,MD,Worker fatally crushed when car fell.,1300283,State,Yes
3/5/2018,Kennesaw,GA,Worker fatally crushed under dump truck.,1300605,Federal,Yes
3/5/2018,South Bay,FL,Worker fatally struck by tractor trailer.,1299289,Federal,No
3/4/2018,Arcadia,LA,Worker died after being pinned to dock wall.,1300977,Federal,Yes
3/4/2018,Monterey Park,CA,Worker died in fall from basket on forklift.,1299704,State,Yes
3/3/2018,Bradford,OH,Worker died in fall from freight trailer.,1299837,Federal,No
3/3/2018,Dixfield,ME,Worker died after being pinned by a carrier beam.,1299054,Federal,Yes
3/3/2018,Guilford,CT,Worker fatally crushed between capsized barge and pier.,1299606,Federal,No
3/3/2018,Henrico,VA,Worker fatally struck by cinder block.,1299010,State,No
3/3/2018,Hudson,FL,Worker died from head trauma while clearing jammed machine.,1298997,Federal,No
3/3/2018,West Palm Beach,FL,Worker fatally struck by motor vehicle.,1299266,Federal,No
3/2/2018,Brawley,CA,Worker died after being struck by pressurized pipe.,1299148,State,Yes
3/2/2018,Grass Valley,OR,Worker died in vehicle collision.,1299512,State,No
3/2/2018,Hickman,KY,Worker died after being swept away by high water.,1300558,State,Yes
3/2/2018,San Jose,CA,Worker fatally struck by truck.,1299087,State,No
3/1/2018,Brooklyn,NY,Worker fatally struck by falling stack of joists.,1298614,Federal,No
3/1/2018,Quintana,TX,Worker died in fall from scaffold.,1298834,Federal,No
3/1/2018,Rochester,MA,Worker died in fall from roof.,1299012,Federal,Yes
3/1/2018,Tulsa,OK,Worker died in fall from ladder.,1298705,Federal,Yes
2/28/2018,Elk Grove Village,IL,Worker fatally struck by falling slabs of stone.,1298309,Federal,Yes
2/28/2018,Mercersburg,PA,Worker died after being crushed by falling steel part.,1298174,Federal,No
2/28/2018,Nashville,TN,Worjker fatally struck by truck.,1298436,State,Yes
2/27/2018,Laredo,TX,Worker fatally struck by bundle of pipes.,1298668,Federal,Yes
2/27/2018,Sacramento,CA,Workered died while running obstacle course.,1297949,State,No
2/26/2018,Brimley,MI,Worker died in vehicle collision.,1297917,State,No
2/26/2018,Dallas,TX,Worker died after being pinned between truck tractor and container.,1298968,Federal,Yes
2/26/2018,Lemay,MO,Worker died in fall.,1295039,Federal,No
2/26/2018,San Jose,CA,Worker electrocuted when cutting branch that contacted power line.,1297495,State,No
2/26/2018,Shoals,IN,Worker died in fall after roof truss collapse.,1302543,State,Yes
2/26/2018,Sterling Heights,MI,Worker died in trench collapse.,1297581,State,No
2/26/2018,Wolverine,MI,Worker sustained fatal injury slipping on ice.,1312435,State,No
2/26/2018,Zanesville,OH,Worker fatally crushed between trailer and loading dock.,1299925,Federal,Yes
2/24/2018,El Paso,TX,Worker fatally crushed by metal cabinet.,1297170,Federal,Yes
2/23/2018,Enid,OK,Worker fatally crushed between two trucks.,1302263,Federal,No
2/23/2018,Mansfield,OH,Worker fatally crushed by steel coils.,1297140,Federal,Yes
2/23/2018,Oklahoma City,OK,Worker fatally crushed between concrete load and forklift mast.,1296965,Federal,No
2/22/2018,Duncannon,PA,Worker fatally struck by vehicle.,1296600,Federal,No
2/22/2018,Houston,TX,Worker fatally struck by truck.,1315279,Federal,No
2/21/2018,Charlotte,NC,Worker fatally crushed by forklift.,1297044,State,Yes
2/20/2018,Compton,CA,Worker fatally crushed under steel.,1301425,State,No
2/20/2018,Cookeville,TN,Worker fatally crushed under car.,1298302,State,Yes
2/20/2018,Miami,FL,Worker fatally struck by truck.,1296411,Federal,No
2/20/2018,Wauconda,IL,Worker fatally crushed between two trucks.,1296829,Federal,Yes
2/19/2018,Gibbon,NE,Worker died after being struck by truck in loading dock.,1296442,Federal,Yes
2/19/2018,Lawrenceville,NJ,Worker fatally struck by car.,1297565,Federal,No
2/19/2018,Tampa,FL,Worker fatally struck by falling crane hook.,1296277,Federal,No
2/18/2018,Woodbury,NJ,Worker died from injuries sustained in fall.,1297755,Federal,Yes
2/16/2018,Austin,TX,Worker died in fall from powered industrial truck.,1293020,Federal,Yes
2/16/2018,Dallas,TX,Worker died after becoming caught in drilling machine.,1295872,Federal,Yes
2/16/2018,Oklahoma City,OK,Worker died in fall through roof.,1296830,Federal,Yes
2/15/2018,Lincoln,NE,Worker fatally crushed between truck and tree.,1295262,Federal,No
2/15/2018,Shively,KY,Worker electrocuted when servicing overhead crane.,1295306,State,Yes
2/15/2018,Tulsa,OK,Worker died in fall from roof.,1298784,Federal,Yes
2/14/2018,Albuquerque,NM,Worker fatally crushed under forklift after jack failed.,1314570,State,No
2/14/2018,Odessa,TX,Worker died in fall through roof.,1295809,Federal,Yes
2/14/2018,Seymour,TX,Worker died in fall from rod basket.,1295835,Federal,Yes
2/14/2018,Tampa,FL,Worker fatally struck by pressurized pipe plug.,1296270,Federal,Yes
2/13/2018,Brooklyn,NY,Worker died in fall from scaffolding.,1295207,Federal,Yes
2/13/2018,Chicago,IL,Worker fatally shot while attempting to make an arrest.,1294843,State,No
2/13/2018,Santa Barbara,CA,Worker died in fall from pump station.,1295270,State,Yes
2/12/2018,Clarence Center,NY,Worker died in fall from bucket truck.,1295970,Federal,Yes
2/12/2018,Culpeper,VA,Worker fatally struck by tank wall.,1294549,State,Yes
2/12/2018,Dickson,TN,Woker died in fall from roof.,1295753,State,Yes
2/12/2018,Houston,TX,Worker died in fall from roof.,1295416,Federal,Yes
2/12/2018,Lawrenceburg,TN,Worker died in ceiling collapse.,1296103,State,No
2/12/2018,Maynardville,TN,Worker fatally crushed by axles while unsecuring load from trailer.,1294434,State,Yes
2/12/2018,Tampa,FL,Worker died in fall from top of tanker truck.,1294704,Federal,Yes
2/11/2018,Edgewood,NM,Worker fatally shot during attempted robbery.,1294851,State,Yes
2/9/2018,Gordonsville,TN,Worker fatally struck by steel column.,1295475,State,Yes
2/9/2018,Hazel Crest,IL,Worker fatally crushed under truck when jack slipped.,1294065,Federal,Yes
2/9/2018,Houston,TX,Worker fatally struck by falling pipe.,1294167,Federal,Yes
2/9/2018,San Francisco,CA,Worker fatally crushed between truck cab door and door frame.,1294077,State,No
2/9/2018,Suwanee,GA,Worker fatally struck by vehicle.,1294119,Federal,No
2/8/2018,Alvin,TX,Worker died in fall from scaffold.,1295003,Federal,No
2/8/2018,Commerce,CA,Worker died in fall from order picker.,1295103,State,No
2/8/2018,Orange,TX,Worker fatally caught in extruder rollers.,1294037,Federal,Yes
2/8/2018,Richford,VT,Worker struck by front-end loader.,1293987,State,No
2/8/2018,Santa Fe,NM,Worker fatally struck by reel of wire.,1294081,State,No
2/8/2018,Surgoinsville,TN,Worker died after becoming caught between a machine and safety guard.,1293969,State,Yes
2/7/2018,Albuquerque,NM,Worker fatally struck by vehicle.,1296269,State,Yes
2/7/2018,Clive,IA,Worker died after slipping and striking head.,1294398,State,Yes
2/7/2018,Fort Myers,FL,Worker died after being crushed by forklift mast.,1293743,Federal,Yes
2/6/2018,Blountville,TN,Worker fatally struck by dump truck.,1292986,State,Yes
2/6/2018,Harrisburg,PA,Worker died after being struck by tractor trailer.,1292996,Federal,Yes
2/6/2018,North Huntingdon,PA,Worker fatally injured from fall on ice.,1334563,Federal,No
2/5/2018,Bristow,VA,Worker died after being struck by school bus.,1292515,State,No
2/5/2018,Kailua Kona,HI,Worker died in fall from trailer.,1294211,State,No
2/5/2018,The Colony,TX,Worker died in fall from ceiling joists.,1293771,Federal,Yes
2/4/2018,Chesterfield,MO,Worker died in fall from roof.,1293423,Federal,Yes
2/4/2018,Grand Island,NE,Worker died in fall from scaffold.,1292999,Federal,Yes
2/4/2018,Martinez,CA,Worker fatally crushed under vehicle.,1292853,State,No
2/4/2018,Miami,FL,Worker fatally crushed when concrete highway barrier fell into trench.,1293032,Federal,Yes
2/3/2018,Carson,VA,Worker fatally struck by vehicle.,1292335,State,No
2/2/2018,Lugoff,SC,Worker died in fall from roof.,1292876,State,Yes
2/2/2018,Starke,FL,Worker drowned when canoe capsized in lake.,1297257,Federal,Yes
2/1/2018,Baker,MT,Worker died in oil well explosion.,1293016,Federal,No
2/1/2018,Williston,ND,Worker fatally struck by a falling traveling block on rig.,1295243,Federal,Yes
1/31/2018,Mahaska,KS,Worker died of hydrogen sulfide and carbon monoxide exposure.,1293967,Federal,No
1/31/2018,Salinas,CA,Worker died in fall from ladder.,1292269,State,No
1/30/2018,Katy,TX,Worker fatally crushed under pickup truck when lift failed.,1291573,Federal,No
1/30/2018,Villa Rica,GA,Worker died in fall from dumpster.,1292428,Federal,Yes
1/29/2018,Abbottstown,PA,Worker fatally crushed between bucket arm and skid loader.,1291221,Federal,No
1/29/2018,El Paso,TX,Worker died in fall from ladder.,1291664,Federal,Yes
1/29/2018,Jayuya,PR,Worker died after being struck by truck.,1292495,State,No
1/29/2018,Tulsa,OK,Worker died in fall from runway.,1292234,Federal,Yes
1/29/2018,Tyro,VA,Worker fatally struck by forklift.,1293444,State,Yes
1/28/2018,Bryn Mawr,PA,Worker died after being struck by vehicle.,1290854,Federal,No
1/28/2018,Stuart,FL,Worker died in fall from roof.,1290648,Federal,No
1/26/2018,Eagle Rock,CA,Worker died when head struck archway.,1298791,State,No
1/26/2018,Hastings,NE,Worker died in fall from elevated platform.,1290727,Federal,Yes
1/26/2018,Houston,TX,Worker died after being pulled into shredder.,1291035,Federal,Yes
1/26/2018,South Saint Paul,MN,Worker fatally crushed by tubular steel.,1290818,State,Yes
1/25/2018,Beaver,PA,Worker suffered fatal heart attack after altercation with psychiatric patient.,1285046,Federal,Yes
1/25/2018,Burlison,TN,Worker died after being caught in auger tip and boring rod.,1290603,State,Yes
1/25/2018,Hanover,MD,Worker died after being struck by vehicle.,1290266,State,No
1/25/2018,Huntsville,AL,Worker died in fall from house frame.,1291326,Federal,Yes
1/25/2018,Orrville,OH,Worker died after tripping and striking head.,1290651,Federal,Yes
1/24/2018,Golden Meadow,LA,Worker died after slipping on icy surface of boat and striking head.,1290193,Federal,No
1/24/2018,Henderson,NV,Worker died after tripping and striking head.,1310983,State,No
1/24/2018,Muleshoe,TX,Worker fatally crushed by forklift.,1290716,Federal,Yes
1/24/2018,Sanford,NC,Worker died in fire.,1291914,State,No
1/23/2018,Billings,MT,Worker fatally struck by falling concrete beam.,1289359,Federal,No
1/23/2018,New York,NY,Worker died in fall down elevator shaft.,1289646,Federal,Yes
1/23/2018,Winston Salem,NC,Worker fatally struck by falling tree branch.,1307252,State,Yes
1/22/2018,Bunker Hill,IN,Worker died when ambulance rolled over.,1290053,State,No
1/22/2018,Lafayette,CO,Worker died in fall from rack.,1290014,Federal,Yes
1/22/2018,Quinton,OK,Five workers died from exposure to smoke and heat in gas well explosion.,1290861,Federal,Yes
1/22/2018,Quinton,OK,Workers died in confined space fire.,1290639,Federal,Yes
1/22/2018,Villa Rica,GA,Worker fatally struck by work truck.,1289479,Federal,Yes
1/21/2018,Garland,TX,Worker fatally shot during attempted robbery.,1290516,Federal,Yes
1/21/2018,Jacksonville,FL,Worker drowned while trying to remove manifold.,1288984,Federal,Yes
1/20/2018,Faribault,MN,Worker electrocuted when gutter contacted power line.,1289404,State,Yes
1/19/2018,Friona,TX,Worker fatally crushed between semi and truck.,1289180,Federal,Yes
1/19/2018,Naples,FL,Worker died in fall from ladder.,1289770,Federal,No
1/18/2018,Ames,IA,Worker fatally struck by machine guard.,1288986,State,Yes
1/18/2018,Bayonne,NJ,Worker died in fall from roof.,1288647,Federal,Yes
1/18/2018,Fargo,ND,Worker fatally struck by forklift.,1294510,Federal,Yes
1/18/2018,Gloucester,MA,Worker fatally crushed between construction equipment and I-beam.,1288571,Federal,Yes
1/18/2018,Green Bay,WI,Worker died after being caught in industrial roller.,1288793,Federal,Yes
1/18/2018,Pandora,OH,Worker died in fall from roof.,1288602,Federal,Yes
1/17/2018,Belhaven,NC,Worker drowned while towing vessel.,1289356,Federal,Yes
1/17/2018,Gentry,AR,Worker fatally engulfed by feed in trailer.,1288288,Federal,No
1/16/2018,Freeport,TX,Worker died after being struck by rail car.,1288804,Federal,No
1/16/2018,Milford,NE,Worker died after slipping on ice and striking head.,1289020,Federal,Yes
1/16/2018,Muenster,TX,Worker died after being struck by skid steer bucket.,1288944,Federal,Yes
1/16/2018,Wilmington,CA,Worker fatally pinned between shipping containers.,1288181,State,No
1/15/2018,Chadbourn,NC,Worker died in fall through skylight.,1289099,State,Yes
1/15/2018,Chico,CA,Worker fatally crushed by tractor.,1287897,State,Yes
1/13/2018,Baytown,TX,Worker died from exposure to vapors while cleaning tanker truck.,1289012,Federal,No
1/12/2018,McCamey,TX,Worker fatally struck by forklift.,1288178,Federal,Yes
1/11/2018,Big Lake,TX,Worker fatally struck by pipe and crane outrigger.,1287600,Federal,No
1/11/2018,San Antonio,TX,Worker died in fall from scaffold.,1300457,Federal,Yes
1/10/2018,Bridgeport,MI,Worker fatally crushed between two vehicles.,1287595,State,No
1/10/2018,Dallas,TX,Worker electrocuted when scaffold contacted power line.,1287806,Federal,Yes
1/10/2018,Fort Meade,FL,Worker electrocuted when ladder contacted a power line.,1288263,Federal,Yes
1/10/2018,Franklin,WI,Worker driving dump truck died when vehicle rolled over.,1287072,Federal,No
1/10/2018,Fremont,CA,Worker fatally crushed between trailer and loading dock.,1287454,State,No
1/9/2018,West Monroe,LA,Worker died from dog bites.,1287682,Federal,Yes
1/8/2018,Chaska,MN,Worker died in fall from ladder.,1288217,State,Yes
1/8/2018,Concord,NC,Worker fatally struck by falling pallets.,1286496,State,Yes
1/8/2018,Hudson,SD,Worker fatally crushed by corn stalk bales.,1295150,Federal,Yes
1/8/2018,Irving,TX,Worker died in fall from ladder.,1286670,Federal,No
1/8/2018,Jacksonburg,WV,Worker driving truck died when vehicle rolled over.,1286872,Federal,No
1/8/2018,Lorton,VA,Worker died after being struck by crawler loader.,1286630,State,No
1/6/2018,Altoona,FL,Worker died in fall through skylight.,1287378,Federal,No
1/5/2018,Los Angeles,CA,Worker died in fall from roof.,1286477,State,No
1/3/2018,Dallas,TX,Worker died in fall from tree.,1286487,Federal,Yes
1/3/2018,San Diego,CA,Worker fatally struck by forklift.,1286304,State,No
1/2/2018,Lafayette Hill,PA,Worker fatally injured when truck tipped over.,1285729,Federal,No
1/2/2018,Wichita,KS,Worker died after being engulfed in grain bin.,1286013,Federal,Yes
1/2/2018,Wichita,KS,Worker died after being engulfed in grain bin.,1285649,Federal,Yes
1/1/2018,Cleveland,TN,Worker fatally crushed between frame and cab of truck.,1288009,State,Yes
12/31/2017,Ada,OK,Worker died after being caught between transport truck and flat bed trailer.,1285772,Federal,No
12/30/2017,Cupertino,CA,Worker died in work vehicle fire.,1285640,State,No
12/30/2017,Ninnekah,OK,Worker fatally struck by track hoe.,1285809,Federal,No
12/29/2017,Mebane,NC,Worker died in fall from roof.,1286077,State,Yes
12/29/2017,Sanger,CA,Worker fatally crushed by collapsed bin stacker.,1285616,State,Yes
12/29/2017,Stockton,CA,Worker died in fall through skylight.,1285650,State,No
12/29/2017,West Stockbridge,MA,Worker died in fall on stairs.,1285593,Federal,Yes
12/28/2017,Brawley,CA,Worker died from cardiac arrest.,1285457,State,No
12/28/2017,Georgetown,CO,Worker fatally crushed between tension rollers.,1285724,Federal,Yes
12/28/2017,Greenville,NH,Worker died after being struck by forklift.,1285533,Federal,Yes
12/28/2017,Madisonville,TX,Worker died in fall from rack.,1286154,Federal,Yes
12/28/2017,Mishicot,WI,Worker died in fall from tower.,1285561,Federal,Yes
12/28/2017,Morrow,OH,Worker asphyxiated in trench collapse.,1285365,Federal,Yes
12/28/2017,Pinellas Park,FL,Worker died after being struck by door frame of scissor lift.,1285397,Federal,No
12/28/2017,Wheeling,WV,Worker died after being struck by pipe.,1285536,Federal,No
12/27/2017,Houston,TX,Worker died in fall from stool.,1285247,Federal,No
12/27/2017,Louisville,KY,Worker died after becoming caught in rotating tractor shaft.,1285309,State,Yes
12/26/2017,Carlisle,KY,Worker died after slipping on ice.,1285659,State,No
12/26/2017,Three Rivers,MI,Worker died in fall from ladder.,1285169,State,No
12/23/2017,Celina,TX,Worker died in fall from roof.,1285696,Federal,Yes
12/22/2017,Holland,MI,Worker fatally struck by steel coil.,1286026,State,No
12/22/2017,Jeanerette,LA,Worker died after being struck by sheet pile.,1285390,Federal,Yes
12/22/2017,Montgomery,AL,Worker died in fall from trailer.,1285374,Federal,Yes
12/21/2017,Beggs,OK,Worker fatally crushed by work rig.,1284889,Federal,Yes
12/21/2017,Greenville,NC,Worker died in vehicle collision.,1285477,State,Yes
12/21/2017,Rochelle,IL,Worker fatally struck by truck.,1284707,Federal,No
12/21/2017,West Hollywood,CA,Worker died in fall from scaffold.,1285372,State,Yes
12/20/2017,Bainbridge,GA,Worker died in fall from roof.,1284893,Federal,Yes
12/20/2017,Bel Aire,KS,Worker died in trench collapse.,1284398,Federal,Yes
12/20/2017,Holland,MI,Worker died in fall from ladder.,1283784,State,No
12/20/2017,Ogden,UT,Fatally crushed by sheets of plywood.,1284752,State,No
12/20/2017,Tampa,FL,Worker died in fall through skylight.,1284549,Federal,No
12/20/2017,Wexford,PA,Worker fatally struck by load from falling traffic signal arm.,1284625,Federal,Yes
12/19/2017,Monroe,NC,Worker fatally stuck by excavator.,1284582,State,No
12/19/2017,Port Arthur,TX,Worker electrocuted from hydraulic machine wire.,1285080,Federal,Yes
12/19/2017,Uniontown,PA,Worker electrocuted while dislodging metal roof anchor from power line.,1284257,Federal,Yes
12/18/2017,Miami,FL,Worker died in fall from ladder.,1284180,Federal,No
12/18/2017,New York,NY,Worker died after being struck by scaffold bracket.,1284065,Federal,Yes
12/17/2017,East Burke,VT,Worker fatally struck by snowcat slid.,1283654,State,No
12/16/2017,Canton,OH,Worker fatally injured after becoming caught in short auger.,1283608,Federal,Yes
12/15/2017,Doraville,GA,Worker fatally crushed between trailer truck and dock wall.,1283635,Federal,Yes
12/15/2017,Hattiesburg,MS,Worker electrocuted from contact with power lines.,1283797,Federal,No
12/15/2017,Idanha,OR,Worker died in vehicle collision.,1285676,State,No
12/15/2017,Milford,MI,Worker died from fall on slippery surface.,1285760,State,No
12/15/2017,Petaluma,CA,Worker fatally struck by dump truck.,1283712,State,No
12/15/2017,Sandy,UT,Worker died in trench collapse.,1283555,State,No
12/15/2017,Stephenville,TX,Worker died in fall from ladder.,1284105,Federal,Yes
12/15/2017,Valdosta,GA,Worker died of asphysiation in confined space.,1284443,Federal,Yes
12/14/2017,Fillmore,CA,Worker died after being burned.,1287792,State,No
12/14/2017,Flower Mound,TX,Worker died in trench collapse.,1283333,Federal,Yes
12/14/2017,Houston,TX,Workers died in structural collapse.,1283640,Federal,No
12/14/2017,Medley,FL,Worker fatally crushed by equipment tire.,1283217,Federal,Yes
12/14/2017,Pinecrest,FL,Worker electrocuted when truck contacted power line.,1283244,Federal,Yes
12/14/2017,Schaumburg,IL,Worker died in fall from ladder.,1283961,Federal,Yes
12/13/2017,Beecher Falls,VT,Workerdied after being caught in silo auger.,1282869,State,No
12/13/2017,Troy,AL,Worker died in fall from truck.,1298994,Federal,No
12/12/2017,Aberdeen,NC,Worker died in vehicle collision with track excavator.,1283093,State,Yes
12/12/2017,Brooklyn,NY,Worker fatally shot by customer.,1287106,Federal,No
12/12/2017,Greenwood,SC,Worker fatally struck by pipe.,1289102,State,Yes
12/11/2017,Bettendorf,IA,Worker fatally crushed between dumpster truck arms and truck cab.,1282631,State,Yes
12/11/2017,Clearwater,FL,Worker trimming tree died after contacting overhead power line and falling.,1285812,Federal,Yes
12/11/2017,Columbia,SC,Worker died on training course from medical complications.,1285119,State,Yes
12/11/2017,East Chicago,IN,Worker fatally crushed between industrial vehicles.,1282283,State,Yes
12/11/2017,East Stroudsburg,PA,Worker fatally shot during robbery.,1282911,Federal,Yes
12/11/2017,Emerald Isle,NC,Worker died in fall from construction platform.,1283720,State,Yes
12/11/2017,Isle Of Wight,VA,Worker fatally crushed by soil compactor.,1282425,State,Yes
12/11/2017,Richmond,KY,Worker died in trench collapse.,1282548,State,Yes
12/11/2017,Ridgefield,CT,Worker died in fall from ladder.,1283960,Federal,No
12/11/2017,Urbana,MD,Workers died in scaffold collapse.,1284091,State,No
12/10/2017,West Paducah,KY,Worker fatally crushed by hopper doors,1283622,Federal,No
12/9/2017,Brookfield,WI,Worker fatally crushed between vehicle and loading dock.,1282030,Federal,No
12/9/2017,Haviland,OH,Worker died in fall from roof.,1282335,Federal,Yes
12/9/2017,Lyndon,KY,Worker fatally crushed between dock and tractor trailer.,1282286,State,Yes
12/9/2017,Ransom,KS,Worker died in fall from communications tower.,1282145,Federal,Yes
12/9/2017,Valyermo,CA,Worker died in fall from ladder.,1283386,State,No
12/8/2017,Edison,NJ,Worker fatally struck by vehicle.,1283890,Federal,No
12/8/2017,Gretna,NE,Worker died in fall from roof.,1281904,Federal,Yes
12/8/2017,Holt,FL,Worker fatally struck by truck.,1282252,Federal,No
12/8/2017,San Clemente,CA,Worker died in fall from roof.,1282249,State,No
12/7/2017,Brockton,MA,Worker died in fall from roof.,1280934,Federal,Yes
12/7/2017,Seattle,WA,Worker fatally struck by broken mooring line.,1284731,Federal,No
12/6/2017,Benson,MN,Worker fatally crushed by dried ash that broke free from tower.,1282290,State,Yes
12/6/2017,Cedar Rapids,IA,Worker fatally crushed under vehicle.,1282044,State,Yes
12/6/2017,Sweetwater,TX,Worker fatally struck by truck.,1281250,Federal,No
12/5/2017,Brookfield,WI,Worker fatally struck by board kicked back by table saw.,1281350,Federal,Yes
12/5/2017,DFW Airport,TX,Worker died in fall from roof,1281440,Federal,Yes
12/5/2017,Evans,CO,Worker asphyxiated while cleaning glycerine tank,1281249,Federal,Yes
12/5/2017,Germantown,WI,Worker fatally struck by malfunctioning machine.,1281084,Federal,No
12/5/2017,Philomath,OR,Worker died when truck rolled over.,1281635,State,No
12/4/2017,Bow,NH,Worker died in fall from scaffolding.,1280885,Federal,No
12/4/2017,Clayton Lake,ME,Worker died in vehicle crash.,1281822,Federal,Yes
12/4/2017,Kansas City,MO,Worker died in fall down elevator shaft.,1280998,Federal,No
12/4/2017,San Antonio,TX,Worker fatally crushed between roll-off box and hydraulic roller arms.,1280748,Federal,No
12/4/2017,Tulsa,OK,Worker died in fall from scaffold.,1283827,Federal,Yes
12/3/2017,City Of Industry,CA,Worker fatally crushed by work truck.,1283715,State,No
12/3/2017,Des Moines,IA,Worker died in fall over stair rail,1282496,State,Yes
12/3/2017,Monessen,PA,Worker fatally struck by coke hopper.,1280839,Federal,Yes
12/2/2017,Broussard,LA,Worker died after exposure to cleaning chemicals.,1280979,Federal,Yes
12/2/2017,Delaware,OH,Worker died in fall through construction opening.,1280829,Federal,Yes
12/2/2017,Oklahoma City,OK,Worker electrocuted when tools contacted electrical pedestal.,1280648,Federal,No
12/1/2017,Beaumont,TX,Worker died after being struck by a pipe.,1280961,Federal,No
12/1/2017,Irvine,CA,Worker died after becoming entangled in sanding machine.,1280430,State,No
12/1/2017,Willard,WI,Worker fatally struck by forwarder machine.,1280950,Federal,Yes
11/30/2017,Booneville,AR,Worker died after being struck by falling tree.,1280209,Federal,No
11/30/2017,Philadelphia,PA,Worker in fall down elevator shaft.,1294029,Federal,Yes
11/30/2017,Wadena,MN,Worker electrocuted after touching the disassembled end of an electric cord.,1281302,State,Yes
11/29/2017,Fenton,MO,Worker electrocuted when drill tower contacted overhead power line.,1279594,Federal,Yes
11/29/2017,Linden,NJ,Worker asphyxiated after falling into chemical tank.,1279668,Federal,Yes
11/29/2017,Washington,DC,Worker died after being struck by falling tree limb.,1281726,Federal,Yes
11/29/2017,Watervliet,MI,Worker died after becoming caught in mower drive shaft.,1281193,State,No
11/28/2017,Calverton,NY,Worker died in vehicle collision.,1279548,Federal,Yes
11/28/2017,Cincinnati,OH,Worker died in fall from building.,1307043,Federal,Yes
11/28/2017,Del Valle,TX,Worker fatally crushed under fork lift.,1279809,Federal,Yes
11/28/2017,Marion Junction,AL,Worker fatally crushed under bulldozer.,1280225,Federal,Yes
11/28/2017,Seabrook,SC,Worker fatally crushed between garbage truck door and hopper.,1280784,State,Yes
11/28/2017,Van,WV,Worker died from exposure to methane gas.,1287429,Federal,Yes
11/27/2017,Bulls Gap,TN,Worker died in fall from truck.,1279830,State,Yes
11/27/2017,High Point,NC,Worker died in fall from ladder.,1280771,State,Yes
11/27/2017,Houston,TX,Worker fatally crushed between loader arm assembly and flatbed trailer.,1280160,Federal,No
11/27/2017,Le Roy,MN,Worker died in fall from fork lift.,1279384,State,Yes
11/27/2017,Novi,MI,Worker fatally crushed between sump pump wall and PVC pipe.,1279234,State,No
11/27/2017,Olathe,KS,Worker died after being struck by piece of metal.,1279292,Federal,Yes
11/27/2017,Prairie Du Chien,WI,Worker was fatally injured from abravise blasting.,1280191,Federal,Yes
11/27/2017,Springfield,NH,Worker died after becoming caught in conveyor,1279886,Federal,Yes
11/27/2017,Watonga,OK,Worker fatally struck by pipe.,1279510,Federal,No
11/26/2017,Charlotte,NC,Worker fatally crushed by bar joist.,1279363,State,Yes
11/26/2017,Huntingburg,IN,Worker died from burns suffered in flash fire.,1285305,State,Yes
11/26/2017,Wichita,KS,Worker fatally shot during delivery.,1281905,Federal,No
11/25/2017,Royal Palm Beach,FL,Worker died in fall through skylight,1279121,Federal,Yes
11/24/2017,Middlesex,NC,Worker fatally injured in gas explosion.,1279166,State,Yes
11/22/2017,Eagle Point,OR,Worker died in vehicle collision.,1286100,State,No
11/22/2017,Memphis,TN,Worker fatally struck by cargo loader platform.,1279827,State,Yes
11/21/2017,Billings,MT,Worker fell in position that caused asphyxiation.,1278931,Federal,No
11/21/2017,Burton,MI,Worker drowned when water pipe burst in trench.,1278733,State,No
11/21/2017,Eugene,OR,Worker fatally crushed by log.,1278911,State,No
11/21/2017,Miami,FL,Worker fatally crushed by tow truck.,1278619,Federal,No
11/21/2017,Saint Cloud,MN,Worker died in fall from cab of freight truck.,1279173,State Plan,No
11/21/2017,Toledo,OH,Worker died in fall through roof.,1278690,Federal,Yes
11/20/2017,Watertown,NY,Worker fatally struck by hydraulic hose.,1278927,State,Yes
11/20/2017,Whitakers,NC,Worker fatally struck by bulldozer.,1278887,State,No
11/19/2017,Lowville,NY,Worker fatally crushed between rotating brushes and machine.,1279010,Federal,Yes
11/19/2017,Piscataway,NJ,Worker died in fall from roof.,1278044,Federal,Yes
11/18/2017,Shoreham,NY,Worker asphyxiated in dirt after excavation collapsed.,1278485,Federal,No
11/17/2017,Detroit,MI,Worker died in fall from lift bucket.,1278053,State,No
11/17/2017,Englewood,CO,Worker died after being struck by tire rim. (Related inspection: 1277969),1277965,Federal,No
11/17/2017,Englewood,CO,Worker died after being struck by tire rim.,1277969,Federal,No
11/17/2017,Klamath Falls,OR,Worker fatally injured in fall from elevated level.,1284824,State,No
11/17/2017,North Las Vegas,NV,Worker was fataly injured in fall from fork- lift basket.,1279558,State,Yes
11/17/2017,Seminole,TX,Worker fatally injured by valve explosion.,1279031,Federal,Yes
11/16/2017,Farwell,TX,Worker suffocated inside modular building.,1278411,Federal,Yes
11/16/2017,Fort Worth,TX,Worker died in fall from roof.,1278184,Federal,Yes
11/16/2017,Houston,TX,Worker fatally crushed by falling load of steel bars.,1278517,Federal,Yes
11/16/2017,Miamisburg,OH,Worker died in fall from scaffold.,1278337,Federal,Yes
11/16/2017,Naples,FL,Worker fatally struck by road plates.,1277394,Federal,Yes
11/16/2017,St Matthews,KY,Worker died after being struck by car.,1277990,State,No
11/15/2017,Charlottesville,VA,Worker died in fall from ladder.,1277514,State,No
11/15/2017,Florence,AL,Worker fatally struck by bulldozer.,1277707,Federal,No
